period,series_reference,region_name,filled jobs,filled jobs revised,filled jobs diff,filled jobs % diff,total_earnings,total earnings revised,earnings diff,earnings % diff
2020.09,BDCQ.SED1RA,Northland,65520,65904,384,0.6,953,959,6,0.6
2020.09,BDCQ.SED1RB,Auckland,708372,714506,6134,0.9,12420,12530,110,0.9
2020.09,BDCQ.SED1RC,Waikato,198776,200265,1489,0.7,3041,3058,17,0.6
2020.09,BDCQ.SED1RD,Bay of Plenty,127323,128540,1217,1,1881,1899,18,1
2020.09,BDCQ.SED1RE,Gisborne,20417,20632,215,1.1,276,279,3,1.1
2020.09,BDCQ.SED1RF,Hawke's Bay,71967,72600,633,0.9,1028,1036,8,0.8
2020.09,BDCQ.SED1RG,Taranaki,49239,49599,360,0.7,745,750,5,0.7
2020.09,BDCQ.SED1RH,Manawatu-Whanganui,101946,102617,671,0.7,1455,1464,9,0.6
2020.09,BDCQ.SED1RI,Wellington,237102,239076,1974,0.8,4358,4394,36,0.8
2020.09,BDCQ.SED1RJ,Tasman,22298,22482,184,0.8,307,309,2,0.7
2020.09,BDCQ.SED1RK,Nelson,19009,19190,181,1,268,272,4,1.5
2020.09,BDCQ.SED1RL,Marlborough,24745,24844,99,0.4,349,349,0,0
2020.09,BDCQ.SED1RM,West Coast,13626,13646,20,0.1,193,193,0,0
2020.09,BDCQ.SED1RN,Canterbury,275569,278290,2721,1,4232,4269,37,0.9
2020.09,BDCQ.SED1RO,Otago,103405,104211,806,0.8,1473,1484,11,0.7
2020.09,BDCQ.SED1RP,Southland,43598,44007,409,0.9,609,616,7,1.1
2020.12,BDCQ.SED1RA,Northland,67629,68137,508,0.8,974,982,8,0.8
2020.12,BDCQ.SED1RB,Auckland,713636,721492,7856,1.1,12597,12738,141,1.1
2020.12,BDCQ.SED1RC,Waikato,203030,204389,1359,0.7,3105,3125,20,0.6
2020.12,BDCQ.SED1RD,Bay of Plenty,130557,132364,1807,1.4,1921,1950,29,1.5
2020.12,BDCQ.SED1RE,Gisborne,21450,21638,188,0.9,286,289,3,1
2020.12,BDCQ.SED1RF,Hawke's Bay,74413,75220,807,1.1,1057,1069,12,1.1
2020.12,BDCQ.SED1RG,Taranaki,50073,50570,497,1,761,770,9,1.2
