description,industry,level,size,line_code,value
Type of outstanding debt: bank overdrafts,total,0,6–19 employees,D0201,13215
Type of outstanding debt: bank overdrafts,total,0,20–49 employees,D0201,3405
Type of outstanding debt: bank overdrafts,total,0,50–99 employees,D0201,978
Type of outstanding debt: bank overdrafts,total,0,100+ employees,D0201,687
Type of outstanding debt: bank overdrafts,"Agriculture, forestry, & fishing",1,total,D0201,1974
Type of outstanding debt: bank overdrafts,Agriculture,2,total,D0201,1371
Type of outstanding debt: bank overdrafts,Commercial fishing,2,total,D0201,24
Type of outstanding debt: bank overdrafts,Forestry & logging,2,total,D0201,117
Type of outstanding debt: bank overdrafts,"Agriculture, forestry, & fishing support services",2,total,D0201,465
Type of outstanding debt: bank overdrafts,Mining,1,total,D0201,30
Type of outstanding debt: bank overdrafts,Manufacturing,1,total,D0201,2424
Type of outstanding debt: bank overdrafts,"Food, beverage, & tobacco",2,total,D0201,474
Type of outstanding debt: bank overdrafts,"Textile, clothing, footwear, & leather",2,total,D0201,132
Type of outstanding debt: bank overdrafts,Wood & paper product,2,total,D0201,243
Type of outstanding debt: bank overdrafts,"Printing, publishing, & recorded media",2,total,D0201,90
Type of outstanding debt: bank overdrafts,"Petroleum, coal, chemical, & associated product",2,total,D0201,153
Type of outstanding debt: bank overdrafts,Non-metallic mineral product,2,total,D0201,87
Type of outstanding debt: bank overdrafts,Metal product,2,total,D0201,429
Type of outstanding debt: bank overdrafts,Transport and industrial machinery & equipment,2,total,D0201,546
Type of outstanding debt: bank overdrafts,Other machinery & equipment,2,total,D0201,102
Type of outstanding debt: bank overdrafts,Other manufacturing,2,total,D0201,165
Type of outstanding debt: bank overdrafts,"Electricity, gas, water, & waste services",1,total,D0201,54
Type of outstanding debt: bank overdrafts,Construction,1,total,D0201,2793
Type of outstanding debt: bank overdrafts,Wholesale trade,1,total,D0201,1395
Type of outstanding debt: bank overdrafts,Machinery & equipment wholesaling,2,total,D0201,315
Type of outstanding debt: bank overdrafts,Other wholesale trade,2,total,D0201,1080
Type of outstanding debt: bank overdrafts,Retail trade,1,total,D0201,1983
Type of outstanding debt: bank overdrafts,Accommodation & food services,1,total,D0201,2235
Type of outstanding debt: bank overdrafts,"Transport, postal, & warehousing",1,total,D0201,690
Type of outstanding debt: bank overdrafts,Information media & telecommunications,1,total,D0201,132
Type of outstanding debt: bank overdrafts,Publishing,2,total,D0201,63
Type of outstanding debt: bank overdrafts,Motion picture,2,total,D0201,33
Type of outstanding debt: bank overdrafts,Telecommunications,2,total,D0201,33
Type of outstanding debt: bank overdrafts,Financial & insurance services,1,total,D0201,168
Type of outstanding debt: bank overdrafts,Finance,2,total,D0201,60
Type of outstanding debt: bank overdrafts,Insurance,2,total,D0201,3
Type of outstanding debt: bank overdrafts,Auxiliary,2,total,D0201,108
Type of outstanding debt: bank overdrafts,"Rental, hiring, & real estate services",1,total,D0201,345
Type of outstanding debt: bank overdrafts,"Professional, scientific, & technical services",1,total,D0201,1410
Type of outstanding debt: bank overdrafts,Computer systems design,2,total,D0201,207
Type of outstanding debt: bank overdrafts,Other professional scientific,2,total,D0201,1206
Type of outstanding debt: bank overdrafts,Administrative & support services,1,total,D0201,600
Type of outstanding debt: bank overdrafts,Education & training,1,total,D0201,291
Type of outstanding debt: bank overdrafts,Health care & social assistance,1,total,D0201,876
Type of outstanding debt: bank overdrafts,Arts & recreation services,1,total,D0201,201
Type of outstanding debt: bank overdrafts,Other services,1,total,D0201,678
Type of outstanding debt: bank overdrafts,total,0,total,D0201,18288
Type of outstanding debt: loans with terms of one year or less,total,0,6–19 employees,D0202,6552
Type of outstanding debt: loans with terms of one year or less,total,0,20–49 employees,D0202,1734
Type of outstanding debt: loans with terms of one year or less,total,0,50–99 employees,D0202,606
Type of outstanding debt: loans with terms of one year or less,total,0,100+ employees,D0202,510
Type of outstanding debt: loans with terms of one year or less,"Agriculture, forestry, & fishing",1,total,D0202,807
Type of outstanding debt: loans with terms of one year or less,Agriculture,2,total,D0202,591
Type of outstanding debt: loans with terms of one year or less,Commercial fishing,2,total,D0202,9
Type of outstanding debt: loans with terms of one year or less,Forestry & logging,2,total,D0202,48
Type of outstanding debt: loans with terms of one year or less,"Agriculture, forestry, & fishing support services",2,total,D0202,162
Type of outstanding debt: loans with terms of one year or less,Mining,1,total,D0202,24
Type of outstanding debt: loans with terms of one year or less,Manufacturing,1,total,D0202,1239
Type of outstanding debt: loans with terms of one year or less,"Food, beverage, & tobacco",2,total,D0202,357
Type of outstanding debt: loans with terms of one year or less,"Textile, clothing, footwear, & leather",2,total,D0202,39
Type of outstanding debt: loans with terms of one year or less,Wood & paper product,2,total,D0202,165
Type of outstanding debt: loans with terms of one year or less,"Printing, publishing, & recorded media",2,total,D0202,45
Type of outstanding debt: loans with terms of one year or less,"Petroleum, coal, chemical, & associated product",2,total,D0202,57
Type of outstanding debt: loans with terms of one year or less,Non-metallic mineral product,2,total,D0202,27
Type of outstanding debt: loans with terms of one year or less,Metal product,2,total,D0202,228
Type of outstanding debt: loans with terms of one year or less,Transport and industrial machinery & equipment,2,total,D0202,180
Type of outstanding debt: loans with terms of one year or less,Other machinery & equipment,2,total,D0202,54
Type of outstanding debt: loans with terms of one year or less,Other manufacturing,2,total,D0202,84
Type of outstanding debt: loans with terms of one year or less,"Electricity, gas, water, & waste services",1,total,D0202,39
Type of outstanding debt: loans with terms of one year or less,Construction,1,total,D0202,1605
Type of outstanding debt: loans with terms of one year or less,Wholesale trade,1,total,D0202,669
Type of outstanding debt: loans with terms of one year or less,Machinery & equipment wholesaling,2,total,D0202,201
Type of outstanding debt: loans with terms of one year or less,Other wholesale trade,2,total,D0202,468
Type of outstanding debt: loans with terms of one year or less,Retail trade,1,total,D0202,1224
