Day,Number of Bicycle Hires,
30/07/2010,6897.00,
31/07/2010,5564.00,
01/08/2010,4303.00,
02/08/2010,6642.00,
03/08/2010,7966.00,
04/08/2010,7893.00,
05/08/2010,8724.00,
06/08/2010,9797.00,
07/08/2010,6631.00,
08/08/2010,7864.00,
09/08/2010,6191.00,
10/08/2010,4802.00,
11/08/2010,14013.00,
12/08/2010,13080.00,
13/08/2010,12151.00,
14/08/2010,9195.00,
15/08/2010,10928.00,
16/08/2010,15384.00,
17/08/2010,15396.00,
18/08/2010,16062.00,
19/08/2010,17170.00,
20/08/2010,16462.00,
21/08/2010,11719.00,
22/08/2010,10129.00,
23/08/2010,12935.00,
24/08/2010,17006.00,
25/08/2010,10062.00,
26/08/2010,9875.00,
27/08/2010,12854.00,
28/08/2010,10116.00,
29/08/2010,7811.00,
30/08/2010,10534.00,
31/08/2010,17508.00,
01/09/2010,19332.00,
02/09/2010,20909.00,
03/09/2010,20113.00,
04/09/2010,14373.00,
05/09/2010,12924.00,
06/09/2010,16841.00,
07/09/2010,25361.00,
08/09/2010,18727.00,
09/09/2010,20774.00,
10/09/2010,19532.00,
11/09/2010,13383.00,
12/09/2010,14002.00,
13/09/2010,18037.00,
14/09/2010,17026.00,
15/09/2010,20890.00,
16/09/2010,20433.00,
17/09/2010,20488.00,
18/09/2010,15495.00,
19/09/2010,11492.00,
20/09/2010,20169.00,
21/09/2010,22906.00,
22/09/2010,23905.00,
23/09/2010,17729.00,
24/09/2010,18053.00,
25/09/2010,14010.00,
26/09/2010,7890.00,
27/09/2010,18789.00,
28/09/2010,21554.00,
29/09/2010,13899.00,
30/09/2010,21823.00,
01/10/2010,11424.00,
02/10/2010,10704.00,
03/10/2010,8237.00,
04/10/2010,23688.00,
05/10/2010,22054.00,
06/10/2010,20114.00,
07/10/2010,24072.00,
08/10/2010,22886.00,
09/10/2010,14463.00,
10/10/2010,14871.00,
11/10/2010,21986.00,
12/10/2010,23016.00,
13/10/2010,22251.00,
14/10/2010,21582.00,
15/10/2010,20934.00,
16/10/2010,12735.00,
17/10/2010,12764.00,
18/10/2010,20464.00,
19/10/2010,17964.00,
20/10/2010,20750.00,
21/10/2010,21161.00,
22/10/2010,20164.00,
23/10/2010,11584.00,
24/10/2010,11259.00,
25/10/2010,18430.00,
26/10/2010,13950.00,
27/10/2010,19559.00,
28/10/2010,19995.00,
29/10/2010,19119.00,
30/10/2010,13493.00,
31/10/2010,8739.00,
01/11/2010,19785.00,
02/11/2010,21754.00,
03/11/2010,27964.00,
04/11/2010,22424.00,
05/11/2010,15815.00,
06/11/2010,11877.00,
07/11/2010,9331.00,
08/11/2010,11328.00,
09/11/2010,16026.00,
10/11/2010,19767.00,
11/11/2010,12901.00,
12/11/2010,14534.00,
13/11/2010,12123.00,
14/11/2010,6235.00,
15/11/2010,18086.00,
16/11/2010,18764.00,
17/11/2010,17005.00,
18/11/2010,15974.00,
19/11/2010,18545.00,
20/11/2010,10806.00,
21/11/2010,8356.00,
22/11/2010,17258.00,
23/11/2010,17427.00,
24/11/2010,18628.00,
25/11/2010,16822.00,
26/11/2010,16092.00,
27/11/2010,7867.00,
28/11/2010,6866.00,
29/11/2010,16681.00,
30/11/2010,9263.00,
01/12/2010,9848.00,
02/12/2010,7356.00,
03/12/2010,8264.00,
04/12/2010,7857.00,
05/12/2010,8321.00,
06/12/2010,13855.00,
07/12/2010,15033.00,
08/12/2010,15225.00,
09/12/2010,16171.00,
10/12/2010,15602.00,
11/12/2010,10328.00,
12/12/2010,8585.00,
13/12/2010,14997.00,
14/12/2010,15550.00,
15/12/2010,13412.00,
16/12/2010,10833.00,
17/12/2010,10366.00,
18/12/2010,2805.00,
19/12/2010,2764.00,
20/12/2010,6876.00,
21/12/2010,7879.00,
22/12/2010,9718.00,
23/12/2010,8867.00,
24/12/2010,5402.00,
25/12/2010,5621.00,
26/12/2010,4383.00,
27/12/2010,3971.00,
28/12/2010,3763.00,
29/12/2010,7010.00,
30/12/2010,7464.00,
31/12/2010,7448.00,
01/01/2011,4555.00,
02/01/2011,6250.00,
03/01/2011,7262.00,
04/01/2011,13430.00,
05/01/2011,13757.00,
06/01/2011,9595.00,
07/01/2011,9294.00,
08/01/2011,9338.00,
09/01/2011,10558.00,
10/01/2011,16058.00,
11/01/2011,16412.00,
12/01/2011,13894.00,
13/01/2011,15911.00,
14/01/2011,14834.00,
15/01/2011,11851.00,
16/01/2011,10471.00,
17/01/2011,10835.00,
18/01/2011,17703.00,
19/01/2011,18350.00,
20/01/2011,17957.00,
21/01/2011,16509.00,
22/01/2011,10658.00,
23/01/2011,9911.00,
24/01/2011,17193.00,
25/01/2011,17045.00,
26/01/2011,16396.00,
27/01/2011,16519.00,
28/01/2011,15538.00,
29/01/2011,9379.00,
30/01/2011,9455.00,
31/01/2011,16260.00,
01/02/2011,16331.00,
02/02/2011,18102.00,
03/02/2011,15593.00,
04/02/2011,14938.00,
05/02/2011,8442.00,
06/02/2011,9437.00,
07/02/2011,16537.00,
08/02/2011,19829.00,
09/02/2011,18197.00,
10/02/2011,11496.00,
11/02/2011,16070.00,
12/02/2011,12855.00,
13/02/2011,7034.00,
14/02/2011,17836.00,
15/02/2011,15667.00,
16/02/2011,18989.00,
17/02/2011,18938.00,
18/02/2011,17460.00,
19/02/2011,6250.00,
20/02/2011,7882.00,
21/02/2011,13720.00,
22/02/2011,15948.00,
23/02/2011,12936.00,
24/02/2011,19230.00,
25/02/2011,18634.00,
26/02/2011,7749.00,
27/02/2011,8349.00,
28/02/2011,13843.00,
01/03/2011,15774.00,
02/03/2011,16929.00,
03/03/2011,16576.00,
04/03/2011,16971.00,
05/03/2011,9847.00,
06/03/2011,7142.00,
07/03/2011,16192.00,
08/03/2011,17240.00,
09/03/2011,18494.00,
10/03/2011,18794.00,
11/03/2011,19074.00,
12/03/2011,15488.00,
13/03/2011,10526.00,
14/03/2011,19451.00,
15/03/2011,19568.00,
16/03/2011,19643.00,
17/03/2011,20036.00,
18/03/2011,14612.00,
19/03/2011,17801.00,
20/03/2011,14694.00,
21/03/2011,20710.00,
22/03/2011,21792.00,
23/03/2011,23837.00,
24/03/2011,23518.00,
25/03/2011,24343.00,
26/03/2011,16095.00,
27/03/2011,17550.00,
28/03/2011,21602.00,
29/03/2011,22080.00,
30/03/2011,18945.00,
31/03/2011,20831.00,
01/04/2011,22048.00,
02/04/2011,19829.00,
03/04/2011,17294.00,
04/04/2011,20949.00,
05/04/2011,16690.00,
06/04/2011,25597.00,
07/04/2011,25451.00,
08/04/2011,26622.00,
09/04/2011,22323.00,
10/04/2011,21346.00,
11/04/2011,22204.00,
12/04/2011,23651.00,
13/04/2011,18909.00,
14/04/2011,22346.00,
15/04/2011,22974.00,
16/04/2011,19632.00,
17/04/2011,22009.00,
18/04/2011,24032.00,
19/04/2011,27914.00,
20/04/2011,27934.00,
21/04/2011,26547.00,
22/04/2011,23719.00,
23/04/2011,19182.00,
24/04/2011,21313.00,
25/04/2011,21669.00,
26/04/2011,22038.00,
27/04/2011,24349.00,
28/04/2011,23794.00,
29/04/2011,19700.00,
30/04/2011,21574.00,
01/05/2011,19489.00,
02/05/2011,18126.00,
03/05/2011,23786.00,
04/05/2011,26183.00,
